"Reporting.Year" "County" "Agency.Name" "Agency.Report.Number" "Rec.Seq.Nbr" "Report.Date" "Victim.Age" "Victim.Sex" "Victim.Race" "Offender.Age" "Offender.Sex" "Offender.Race" "Weapon.Type" "Justifiable.Circumstance" "Justifiable.Code" "Situation.Code" "Victim.Relationship" "Circumstance.Code"
"1997" "Brevard" "Titusville Police Department" "9742016" 1 "12/23/1997" "54" "F-FEMALE" "W-WHITE" "69" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "Z-OTHER" "U-UNKNOWN"
"1997" "Brevard" "Titusville Police Department" "9742016" 2 "12/23/1997" "63" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Broward" "Hollywood Police Department" "97075996" 1 "6/21/1997" "58" "F-FEMALE" "W-WHITE" "60" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "S-SPOUSE" "U-UNKNOWN"
"1997" "Broward" "Hollywood Police Department" "97075996" 2 "6/21/1997" "85" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "P-PARENT" ""
"1997" "Broward" "Lauderdale Lakes PD" "LL970701150" 1 "7/10/1997" "32" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "D-DRUG RELATED ARGUMENT"
"1997" "Broward" "Lauderdale Lakes PD" "LL970701150" 2 "7/10/1997" "30" "M-MALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Broward" "Miramar Police Department" "97044520" 1 "4/30/1997" "29" "F-FEMALE" "B-BLACK" "29" "F-FEMALE" "B-BLACK" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "Z-OTHER" "U-UNKNOWN"
"1997" "Broward" "Miramar Police Department" "97044520" 2 "4/30/1997" "1" "F-FEMALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Broward" "Miramar Police Department" "97044520" 3 "4/30/1997" "2" "F-FEMALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Broward" "Miramar Police Department" "97044520" 4 "4/30/1997" "55" "F-FEMALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Broward" "Weston PD" "WS971200335" 1 "12/6/1997" "19" "F-FEMALE" "W-WHITE" "53" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "C-CHILD" "Z-OTHER"
"1997" "Broward" "Weston PD" "WS971200335" 2 "12/6/1997" "50" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "S-SPOUSE" ""
"1997" "Broward" "Weston PD" "WS971200335" 3 "12/6/1997" "16" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "C-CHILD" ""
