"state","num_passengers","TSA_num_detected_firearms","TSA_num_detected_firearms_found_loaded","TSA_num_detected_firearms_found_w_round_chambered","population","cdc_firearm_ownership_prevalence_2012_to_2017","child_access_prevention_laws","safety_training_required","region"
"AK",10542380,196,156,41,736705,0.626023657870792,0,1,"W"
"AL",8111394,279,259,95,4843214,0.69167954094019,0,0,"S"
"AR",6027397,166,146,56,2966912,0.61587786259542,0,1,"S"
"AZ",54503060,582,505,171,6719993,0.573141163793103,0,0,"W"
"CA",352054389,706,528,219,38680810,0.380986879175722,1,0,"W"
"CO",65464411,518,411,126,5349648,0.503042287800426,0,0,"W"
"CT",12014237,22,17,4,3591873,0.288053097345133,1,1,"NE"
"DE",126300,1,1,0,934948,0.461432506887052,0,1,"S"
"FL",243273846,1835,1620,610,19888741,0.523160910221069,1,1,"S"
"GA",87011744,995,862,321,10087231,0.630906768837803,0,0,"S"
"HI",42622926,20,12,4,1416349,0.184233076263925,1,0,"W"
"IA",6619004,39,33,12,3108030,0.474778590681556,1,0,"MW"
"ID",6461379,106,89,26,1633532,0.607794770596941,0,0,"W"
"IL",124034428,223,170,52,12867544,0.375302956858943,1,1,"MW"
"IN",17474198,214,183,83,6595233,0.553939803855259,0,0,"MW"
"KS",3124431,34,27,13,2899360,0.53796169630643,0,1,"MW"
"KY",8029557,147,131,38,4413057,0.64251968503937,0,1,"S"
"LA",17593506,352,312,109,4647880,0.654070504691859,0,1,"S"
"MA",63454622,56,44,15,6749911,0.215744223535733,1,0,"NE"
"MD",34999811,105,75,25,5967295,0.44633730834753,1,1,"S"
"ME",3910732,19,14,7,1330719,0.536931818181818,0,0,"NE"
"MI",49114182,261,225,91,9915767,0.499323410013532,0,1,"MW"
"MN",42079670,160,126,38,5453109,0.458655422815648,1,1,"MW"
"MO",39968241,442,381,153,6060930,0.585985213757634,0,1,"MW"
"MS",2865249,102,89,32,2992400,0.690916563912865,0,0,"S"
"MT",5837852,118,106,23,1022867,0.633650793650794,0,0,"W"
"NC",53876632,584,515,176,9934399,0.56712962962963,1,1,"S"
"ND",4271570,46,33,11,739904,0.593908629441624,0,0,"MW"
"NE",8465490,60,50,20,1881145,0.494467496542185,0,1,"MW"
"NH",4564819,15,10,5,1328743,0.475182481751825,1,0,"NE"
"NJ",77871975,33,23,7,8925001,0.249052396878484,1,1,"NE"
"NM",8356130,118,101,27,2083024,0.530575539568345,0,1,"W"
"NV",50453852,311,255,105,2833013,0.527361751152074,0,1,"W"
"NY",204921252,111,81,23,19718515,0.277046421854895,0,0,"NE"
"OH",44733937,288,235,97,11594408,0.52182477967859,0,1,"MW"
"OK",11638351,272,242,96,3877499,0.609882671480144,0,1,"S"
"OR",30772661,296,255,83,3968371,0.527887571365832,0,0,"W"
"PA",65802171,257,215,71,12790565,0.497125920603557,0,0,"NE"
"RI",7486354,10,5,3,1054480,0.257887517146776,1,1,"NE"
"SC",12310024,193,163,65,4828430,0.644139153556393,0,1,"S"
"SD",2743793,36,29,7,852561,0.484816753926702,0,0,"MW"
"TN",28118823,651,587,213,6544663,0.625985493535162,0,1,"S"
"TX",202132066,2846,2527,868,26944751,0.574710917555188,1,1,"S"
"UT",21621601,303,261,44,2941836,0.50639244024458,0,0,"W"
"VA",15043601,165,136,49,8317372,0.564718162839248,0,0,"S"
"VT",2138929,5,4,0,626984,0.548238897396631,0,0,"NE"
"WA",67053178,421,336,111,7054196,0.482860958599199,0,0,"W"
"WI",18650339,76,62,26,5758377,0.489808153477218,0,0,"MW"
"WV",1419113,41,38,14,1848514,0.647310804378867,0,1,"S"
"WY",1232938,30,26,8,583642,0.626423690205011,0,0,"W"
