"year","state_abb","nevent","ncasualties","mean_ncasualties","perp_known_to_victim","firearm","incident_type","num_killed_sel","pop"
1984,"USA",15012,15633,1.04136690647482,"no_sel","no_sel","no_sel","no_sel",235955196
1985,"USA",15190,15867,1.04456879526004,"no_sel","no_sel","no_sel","no_sel",238116263
1986,"USA",16854,17537,1.04052450456865,"no_sel","no_sel","no_sel","no_sel",240297079
1987,"USA",15674,16347,1.04293734847518,"no_sel","no_sel","no_sel","no_sel",242487990
1988,"USA",17022,17700,1.03983080719069,"no_sel","no_sel","no_sel","no_sel",244769449
1989,"USA",17422,18161,1.04241763287797,"no_sel","no_sel","no_sel","no_sel",247158528
1990,"USA",18571,19386,1.04388562812988,"no_sel","no_sel","no_sel","no_sel",248922111
1991,"USA",19935,20750,1.04088286932531,"no_sel","no_sel","no_sel","no_sel",253088068
1992,"USA",19828,20806,1.04932418801695,"no_sel","no_sel","no_sel","no_sel",256606463
1993,"USA",20342,21289,1.04655392783404,"no_sel","no_sel","no_sel","no_sel",260024637
1994,"USA",19669,20621,1.04840103716508,"no_sel","no_sel","no_sel","no_sel",263241475
1995,"USA",17440,18318,1.05034403669725,"no_sel","no_sel","no_sel","no_sel",266386596
1996,"USA",15800,16560,1.04810126582278,"no_sel","no_sel","no_sel","no_sel",269540779
1997,"USA",14720,15475,1.05129076086957,"no_sel","no_sel","no_sel","no_sel",272776678
1998,"USA",13556,14206,1.04794924756565,"no_sel","no_sel","no_sel","no_sel",276032848
1999,"USA",12408,13121,1.05746292714378,"no_sel","no_sel","no_sel","no_sel",279040168
2000,"USA",12610,13233,1.04940523394132,"no_sel","no_sel","no_sel","no_sel",281421906
2001,"USA",13185,13879,1.05263557072431,"no_sel","no_sel","no_sel","no_sel",284968955
2002,"USA",13551,14344,1.05851966644528,"no_sel","no_sel","no_sel","no_sel",287625193
2003,"USA",13685,14530,1.06174643770552,"no_sel","no_sel","no_sel","no_sel",290107933
2004,"USA",13493,14218,1.05373156451493,"no_sel","no_sel","no_sel","no_sel",292805298
2005,"USA",13960,14759,1.05723495702006,"no_sel","no_sel","no_sel","no_sel",295516599
2006,"USA",14184,14966,1.05513254371122,"no_sel","no_sel","no_sel","no_sel",298379912
2007,"USA",14023,14780,1.0539827426371,"no_sel","no_sel","no_sel","no_sel",301231207
2008,"USA",13407,14148,1.05526963526516,"no_sel","no_sel","no_sel","no_sel",304093966
