"year","state_abb","nevent","ncasualties","mean_ncasualties","perp_known_to_victim","firearm","incident_type","num_killed_sel","pop"
1994,"USA",19829,20787,1.0483130768067,"no_sel","no_sel","no_sel","no_sel",263241475
1995,"USA",17761,18653,1.05022239738753,"no_sel","no_sel","no_sel","no_sel",266386596
1996,"USA",16097,16868,1.04789712368764,"no_sel","no_sel","no_sel","no_sel",269540779
1997,"USA",14989,15761,1.05150443658683,"no_sel","no_sel","no_sel","no_sel",272776678
1998,"USA",13745,14403,1.04787195343761,"no_sel","no_sel","no_sel","no_sel",276032848
1999,"USA",12562,13283,1.05739531921669,"no_sel","no_sel","no_sel","no_sel",279040168
2000,"USA",12741,13373,1.04960364178636,"no_sel","no_sel","no_sel","no_sel",281421906
2001,"USA",13329,14033,1.05281716557881,"no_sel","no_sel","no_sel","no_sel",284968955
2002,"USA",13696,14496,1.05841121495327,"no_sel","no_sel","no_sel","no_sel",287625193
2003,"USA",13828,14679,1.0615417992479,"no_sel","no_sel","no_sel","no_sel",290107933
2004,"USA",13763,14502,1.053694688658,"no_sel","no_sel","no_sel","no_sel",292805298
2005,"USA",14193,15001,1.05692947227507,"no_sel","no_sel","no_sel","no_sel",295516599
2006,"USA",14402,15205,1.05575614497986,"no_sel","no_sel","no_sel","no_sel",298379912
2007,"USA",14279,15058,1.05455564115134,"no_sel","no_sel","no_sel","no_sel",301231207
2008,"USA",13692,14464,1.05638328951212,"no_sel","no_sel","no_sel","no_sel",304093966
2009,"USA",13089,13883,1.06066162426465,"no_sel","no_sel","no_sel","no_sel",306771529
2010,"USA",12639,13353,1.056491811061,"no_sel","no_sel","no_sel","no_sel",308745538
2011,"USA",12440,13204,1.06141479099678,"no_sel","no_sel","no_sel","no_sel",311591917
2012,"USA",12705,13514,1.06367571822117,"no_sel","no_sel","no_sel","no_sel",313914040
2013,"USA",12099,12860,1.06289776014547,"no_sel","no_sel","no_sel","no_sel",316128839
2014,"USA",12087,12750,1.05485232067511,"no_sel","no_sel","no_sel","no_sel",318857056
2015,"USA",13220,14089,1.06573373676248,"no_sel","no_sel","no_sel","no_sel",321418820
2016,"USA",14515,15465,1.06544953496383,"no_sel","no_sel","no_sel","no_sel",323127513
2017,"USA",14644,15668,1.06992624965856,"no_sel","no_sel","no_sel","no_sel",325719178
1994,"USA",6340,6551,1.03328075709779,"no_sel","no_sel","arguments","no_sel",263241475
1995,"USA",5569,5774,1.03681091757946,"no_sel","no_sel","arguments","no_sel",266386596
1996,"USA",5182,5395,1.04110382091856,"no_sel","no_sel","arguments","no_sel",269540779
1997,"USA",4846,5051,1.04230293025175,"no_sel","no_sel","arguments","no_sel",272776678
1998,"USA",4598,4776,1.03871248368856,"no_sel","no_sel","arguments","no_sel",276032848
1999,"USA",3898,4064,1.04258594150847,"no_sel","no_sel","arguments","no_sel",279040168
2000,"USA",3890,4047,1.04035989717224,"no_sel","no_sel","arguments","no_sel",281421906
2001,"USA",3846,4028,1.04732189287572,"no_sel","no_sel","arguments","no_sel",284968955
2002,"USA",3819,4002,1.04791830322074,"no_sel","no_sel","arguments","no_sel",287625193
2003,"USA",4020,4201,1.04502487562189,"no_sel","no_sel","arguments","no_sel",290107933
2004,"USA",4022,4188,1.0412729985082,"no_sel","no_sel","arguments","no_sel",292805298
2005,"USA",3866,4062,1.05069839627522,"no_sel","no_sel","arguments","no_sel",295516599
2006,"USA",3766,3894,1.0339883165162,"no_sel","no_sel","arguments","no_sel",298379912
2007,"USA",3774,3933,1.04213036565978,"no_sel","no_sel","arguments","no_sel",301231207
2008,"USA",3715,3883,1.04522207267833,"no_sel","no_sel","arguments","no_sel",304093966
2009,"USA",3522,3675,1.04344122657581,"no_sel","no_sel","arguments","no_sel",306771529
2010,"USA",3470,3620,1.04322766570605,"no_sel","no_sel","arguments","no_sel",308745538
2011,"USA",3350,3533,1.05462686567164,"no_sel","no_sel","arguments","no_sel",311591917
2012,"USA",3277,3450,1.05279218797681,"no_sel","no_sel","arguments","no_sel",313914040
2013,"USA",2995,3162,1.05575959933222,"no_sel","no_sel","arguments","no_sel",316128839
2014,"USA",3012,3153,1.04681274900398,"no_sel","no_sel","arguments","no_sel",318857056
2015,"USA",3250,3388,1.04246153846154,"no_sel","no_sel","arguments","no_sel",321418820
2016,"USA",3425,3612,1.05459854014599,"no_sel","no_sel","arguments","no_sel",323127513
2017,"USA",3459,3643,1.05319456490315,"no_sel","no_sel","arguments","no_sel",325719178
1994,"USA",7025,7484,1.06533807829181,"no_sel","no_sel","crime_related","no_sel",263241475
1995,"USA",6250,6644,1.06304,"no_sel","no_sel","crime_related","no_sel",266386596
1996,"USA",5223,5549,1.06241623587976,"no_sel","no_sel","crime_related","no_sel",269540779
1997,"USA",4667,4997,1.07070923505464,"no_sel","no_sel","crime_related","no_sel",272776678
