"Date","meet_inclusion_criteria","month","day","year","town","state","perpetrator_name","venue","num_shot_public","num_gun_fatalities_public","num_gun_injuries_public","num_shot_private","num_gun_fatalities_private","num_gun_injuries_private","public_victims_knew_perp","julian_day","during_ban","lknown_if_high_capacity_involved","lFAWB_banned_firearm","summary","reason_excluded","url1","url2","url3","url4","url5","url6","url7","url8","url9","url10","url11","url12","url13"
2018.85,"Yes",11,7,2018,"Thousand Oaks","CA","Ian David Long","Public Place",13,12,1,0,0,0,"No",17842,0,1,TRUE,"Killed 12 and wounded 1 in a nightclub",""," https://bbc.in/2T0SYeq"," https://n.pr/2R2Dp8H"," https://nbcnews.to/2yVz8cQ"," https://abc7.ws/2RODXf7","","","","","","","","",""
2018.82,"Yes",10,27,2018,"Pittsburgh","PA","Robert Bowers","Public Place",17,11,6,0,0,0,"No",17831,0,1,TRUE,"Killed 11 and wounded 6 in a synagogue",""," https://bit.ly/2O8zuBL"," https://bit.ly/2SWVUbV"," https://bit.ly/2Lq7dqw"," https://yhoo.it/2SbRgGQ"," https://cnn.it/2RePVOO"," https://bit.ly/2SWVZfJ"," https://bbc.in/2Ex3S7A","","","","","",""
2018.49,"Yes",6,28,2018,"Annapolis","MD","Jarrod Ramos","Public place",7,5,2,0,0,0,"No",17710,0,1,FALSE,"Ramos broke into a newsroom, killing 5 and wounding 2",""," https://bit.ly/2LvlGl6"," https://bsun.md/2T2HNlv"," https://cnn.it/2UTmWTg"," https://bit.ly/2LuW6g8","","","","","","","","",""
2018.38,"Yes",5,18,2018,"Santa Fe","TX","Dimitrios Pagourtzis","School",23,10,13,0,0,0,"Yes",17669,0,1,FALSE,"Pagouritzis opened fire in a classroom at his high school, killing 10 and wounding 13",""," https://wapo.st/2QHQ5Cg"," https://aol.it/2QHQx3q"," https://bit.ly/2CmS0U2"," https://lat.ms/2UWHevb"," https://bit.ly/2V0lq1w"," https://abcn.ws/2Sd0932","","","","","","",""
2018.31,"Yes",4,22,2018,"Antioch","TN","Travis Reinking","Public place(s)",6,4,2,0,0,0,"No",17643,0,1,TRUE,"Perpetrator opened fire at a waffle house, killing four and injuring two.","","https://bit.ly/2OyvOcM ","https://bit.ly/2DsedSo ","https://bit.ly/2zw1mKQ","","","","","","","","","",""
2018.12,"Yes",2,14,2018,"Parkland","FL","Nikolas Cruz","School",31,17,14,0,0,0,"Partly",17576,0,1,TRUE,"The perpetrator, a recently expelled student, opened fire at a school, killing 17 and wounding 14 others.","","https://bit.ly/2SK1BL3 ","https://bit.ly/2qyNb3v","","","","","","","","","","",""
2018.08,"Yes",1,28,2018,"Melcroft","PA","Timothy OBrien Smith","Public place(s)",5,4,1,0,0,0,"Yes",17559,0,1,TRUE,"The perpetrator opened fire at a carwash, killing his ex-girlfriend and three acquaintances in a vehicle and the parking lot.","","https://bit.ly/2QtdkMA ","https://bit.ly/2yXMg0W ","https://bit.ly/2F5VL3E","","","","","","","","","",""
2017.85,"Yes",11,5,2017,"Sutherland Springs","TX","Devin Patrick Kelley","Public place(s)",46,26,20,0,0,0,"Partly",17475,0,1,TRUE,"The perpetrator opened fire at a church, killing 26 and injuring 20.","","https://bit.ly/2JL3Vgs ","https://bit.ly/2PdHzu1 ","https://bit.ly/2RF5vDE ","https://bit.ly/2RF64xg ","https://bit.ly/2PKT8IG ","https://bit.ly/2zyq7Gb","","","","","","",""
2017.75,"Yes",10,1,2017,"Las Vegas","NV","Stephen Craig Paddock","Public place(s)",480,58,422,0,0,0,"No",17440,0,1,TRUE,"The perpetrator opened fire at a concert, killing 58, and wounding 422.","","https://bit.ly/2F5L553 ","https://bit.ly/2zzWB2E ","https://bit.ly/2DqxWBU ","https://bit.ly/2F8kS62 ","https://bit.ly/2F8kS62 ","https://wapo.st/2DaizwT","","","","","","",""
2017.43,"Yes",6,5,2017,"Orlando","FL","John Robert Neumann Jr.","Workplace",5,5,0,0,0,0,"Yes",17322,0,1,TRUE,"Perpetrator opened fire at his workplace, killing five co-workers.","","https://bit.ly/2CeDJ8W ","https://bit.ly/2FDeVhg ","https://bit.ly/2CeDJ8W","","","","","","","","","",""
